time_s,x_m,y_m,z_m,nearest_obstacle,distance_to_obstacle_center_m,nearest_clearance_m,current_clearance_m,proximity_risk,original_target_x_m,original_target_y_m,selected_target_x_m,selected_target_y_m,target_type,proposed_speed_mps,executed_speed_mps,adaptive_speed_mps,speed_reduction_mps,speed_reduction_ratio,intervention,reason,direct_predicted_clearance_m,safe_predicted_clearance_m,risk_score,avoid_active,avoid_obstacle
0.0,-1.1,0.12,0.3,O1,0.9500000000000001,0.79,0.79,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.22532122280159558,0.22532122280159558,0.0,0,none
0.020833333333333332,-1.0999986065952032,0.11999979196094854,0.3000022984723453,O1,0.949998606595226,0.7899986065952259,0.7899986065952259,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.22531984666425717,0.22531984666425717,0.0,0,none
0.041666666666666664,-1.099970791085592,0.11999601364332389,0.3000065412123644,O1,0.949970791093956,0.789970791093956,0.789970791093956,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.22529235581742194,0.22529235581742194,0.0,0,none
0.0625,-1.0998636220308189,0.11998708892777957,0.3000144719620363,O1,0.9498636221185661,0.7898636221185661,0.7898636221185661,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2251861362277627,0.2251861362277627,0.0,0,none
0.08333333333333333,-1.0996455253413377,0.11997513782608059,0.300024643220478,O1,0.9496455256667895,0.7896455256667895,0.7896455256667895,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.22496964042777065,0.22496964042777065,0.0,0,none
0.10416666666666667,-1.099317185446687,0.11995401020202622,0.30003770699112475,O1,0.949317186560678,0.789317186560678,0.789317186560678,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2246438834004804,0.2246438834004804,0.0,0,none
0.125,-1.0988649097299432,0.11992562620901127,0.30005341844853295,O1,0.948864912644721,0.7888649126447209,0.7888649126447209,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2241951357955477,0.2241951357955477,0.0,0,none
0.14583333333333334,-1.0982669953019024,0.11989519769299618,0.3000682942449351,O1,0.948267001093269,0.788267001093269,0.788267001093269,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.22360151768231454,0.22360151768231454,0.0,0,none
0.16666666666666666,-1.0975412322201634,0.11984756164811065,0.300084500591539,O1,0.947541244482137,0.7875412444821369,0.7875412444821369,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.22288157169162662,0.22288157169162662,0.0,0,none
0.1875,-1.0967072782898586,0.11978393545771981,0.3001023097797381,O1,0.9467073029457828,0.7867073029457827,0.7867073029457827,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.22205482116638062,0.22205482116638062,0.0,0,none
0.20833333333333334,-1.0957354693766108,0.11971599637989781,0.30011870414211406,O1,0.9457355120196421,0.7857355120196421,0.7857355120196421,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.22109111833337589,0.22109111833337589,0.0,0,none
0.22916666666666666,-1.094588202908598,0.11962318547355014,0.30013297733837835,O1,0.9445882780679009,0.7845882780679009,0.7845882780679009,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.21995418558778226,0.21995418558778226,0.0,0,none
0.25,-1.0932765701155776,0.11948960183776366,0.3001461150368358,O1,0.9432767082014122,0.7832767082014122,0.7832767082014122,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2186559991440906,0.2186559991440906,0.0,0,none
0.2708333333333333,-1.0918207865165952,0.11934929050216479,0.3001566864824735,O1,0.94182101130607,0.78182101130607,0.78182101130607,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2172148511512554,0.2172148511512554,0.0,0,none
0.2916666666666667,-1.090213076645964,0.11924408019596114,0.3001652050520753,O1,0.9402133805210493,0.7802133805210493,0.7802133805210493,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2156206676313285,0.2156206676313285,0.0,0,none
0.3125,-1.0884625394031646,0.11916697354011828,0.30017136251781695,O1,0.9384629091211433,0.7784629091211432,0.7784629091211432,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.21388288034763495,0.21388288034763495,0.0,0,none
0.3333333333333333,-1.086605664752275,0.11910243314060634,0.30017662882312784,O1,0.9366060948297945,0.7766060948297945,0.7766060948297945,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.21203868392629074,0.21203868392629074,0.0,0,none
0.3541666666666667,-1.0846589767135284,0.1190727257407553,0.30018266052740866,O1,0.9346594366873593,0.7746594366873593,0.7746594366873593,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2101032301778609,0.2101032301778609,0.0,0,none
0.375,-1.0826280452571286,0.11909424359173444,0.30018870040815276,O1,0.9326284850865343,0.7726284850865343,0.7726284850865343,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2080810749540851,0.2080810749540851,0.0,0,none
0.3958333333333333,-1.0805501173924026,0.119133129187836,0.3001973596742897,O1,0.9305505211669161,0.770550521166916,0.770550521166916,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.20601122621974713,0.20601122621974713,0.0,0,none
0.4166666666666667,-1.0784573123543375,0.11914762153576777,0.3002097537382522,O1,0.9284577036210567,0.7684577036210567,0.7684577036210567,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2039280999079747,0.2039280999079747,0.0,0,none
0.4375,-1.0763318036547915,0.11914467788641832,0.3002241537358112,O1,0.9263321985326092,0.7663321985326091,0.7663321985326091,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.2018135786341895,0.2018135786341895,0.0,0,none
0.4583333333333333,-1.0741480222699025,0.11913931353159593,0.30023818996781554,O1,0.9241484230612359,0.7641484230612359,0.7641484230612359,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.19964135433042476,0.19964135433042476,0.0,0,none
0.4791666666666667,-1.0719290623494757,0.11910223873699866,0.30025252791817597,O1,0.9219294994628758,0.7619294994628758,0.7619294994628758,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.19743618958816747,0.19743618958816747,0.0,0,none
0.5,-1.069705817770683,0.11900194229426767,0.3002678216222155,O1,0.9197063593128108,0.7597063593128107,0.7597063593128107,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.19523080284808755,0.19523080284808755,0.0,0,none
0.5208333333333334,-1.0674605193112106,0.1188563076529671,0.30028363434862837,O1,0.9174612321656871,0.7574612321656871,0.7574612321656871,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.1930065426461283,0.1930065426461283,0.0,0,none
0.5416666666666666,-1.0651674972183396,0.11869115310919191,0.3002993338933928,O1,0.9151684331559209,0.7551684331559209,0.7551684331559209,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.19073637446927297,0.19073637446927297,0.0,0,none
0.5625,-1.0628496161611076,0.11848363573742149,0.3003150549547221,O1,0.9128508756012991,0.752850875601299,0.752850875601299,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.1884445582497006,0.1884445582497006,0.0,0,none
0.5833333333333334,-1.0605374383525772,0.11820318895700575,0.3003307073771832,O1,0.9105392112213496,0.7505392112213496,0.7505392112213496,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.1861635918400907,0.1861635918400907,0.0,0,none
0.6041666666666666,-1.0582128470042396,0.11786804953862316,0.3003463979272102,O1,0.9082153492846925,0.7482153492846925,0.7482153492846925,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.18387450493806504,0.18387450493806504,0.0,0,none
0.625,-1.0558498931482243,0.1175045688865176,0.30036129838777953,O1,0.9058533303427722,0.7458533303427721,0.7458533303427721,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.18154994985893094,0.18154994985893094,0.0,0,none
0.6458333333333334,-1.0534712051717885,0.1170945575693807,0.30037590409801984,O1,0.9034758769166344,0.7434758769166344,0.7434758769166344,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.17921380401106266,0.17921380401106266,0.0,0,none
0.6666666666666666,-1.0511073035076037,0.11661716908777699,0.30039095233320107,O1,0.9011136531979334,0.7411136531979333,0.7411136531979333,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.17689807280728828,0.17689807280728828,0.0,0,none
0.6875,-1.048740277494158,0.11610071987299488,0.3004066243296626,O1,0.8987487361747916,0.7387487361747915,0.7387487361747915,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.17458325723683973,0.17458325723683973,0.0,0,none
0.7083333333333334,-1.0463447059894007,0.11558099487017941,0.3004229445075175,O1,0.896355598834281,0.7363555988342809,0.7363555988342809,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.1722417042406519,0.1722417042406519,0.0,0,none
0.7291666666666666,-1.0439440402235047,0.11504463660446376,0.30044008351040374,O1,0.8939577745495056,0.7339577745495056,0.7339577745495056,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.16989776545505977,0.16989776545505977,0.0,0,none
0.75,-1.0415699725563405,0.11446992303379255,0.3004576995453398,O1,0.8915871228967845,0.7315871228967845,0.7315871228967845,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.16758468975520582,0.16758468975520582,0.0,0,none
0.7708333333333334,-1.0392060136287884,0.1138835115189951,0.3004760652410246,O1,0.8892270498050199,0.7292270498050198,0.7292270498050198,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.16528423561348085,0.16528423561348085,0.0,0,none
0.7916666666666666,-1.0368282935833906,0.11331942228337616,0.3004948748165307,O1,0.886853455999725,0.726853455999725,0.726853455999725,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.16297007156822632,0.16297007156822632,0.0,0,none
0.8125,-1.034461809429106,0.1127625372596992,0.30051440218237296,O1,0.8844914206511704,0.7244914206511703,0.7244914206511703,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.16066815896207773,0.16066815896207773,0.0,0,none
0.8333333333333334,-1.032139554846344,0.11218966690177581,0.30053450217670963,O1,0.8821741299355876,0.7221741299355876,0.7221741299355876,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.1584131527382451,0.1584131527382451,0.0,0,none
0.8541666666666666,-1.029846063878251,0.11162638412401224,0.3005548784882054,O1,0.8798859094024007,0.7198859094024007,0.7198859094024007,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.1561876054256038,0.1561876054256038,0.0,0,none
0.875,-1.02755791514722,0.11110631557506008,0.300575930340333,O1,0.87760298088611,0.71760298088611,0.71760298088611,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.15396530207206285,0.15396530207206285,0.0,0,none
0.8958333333333334,-1.0252999568819914,0.11061453624485526,0.30059728053380336,O1,0.8753502735748216,0.7153502735748216,0.7153502735748216,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.15177199121185278,0.15177199121185278,0.0,0,none
0.9166666666666666,-1.0231042593942112,0.1101289156138955,0.30061867996381786,O1,0.8731600575377184,0.7131600575377184,0.7131600575377184,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.14964131456179694,0.14964131456179694,0.0,0,none
0.9375,-1.0209538274527334,0.10967675990960536,0.3006406459573726,O1,0.8710150049456838,0.7110150049456838,0.7110150049456838,0.0,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0.34,0.0,0.0,0,no_supervisor,0.14755384050905587,0.14755384050905587,0.0,0,none
